,name,startYear,endYear,in_production,creators,cast,overview,genres,country_names,runtimes,actor_popularity,number_of_seasons,number_of_episodes,averageRating,numVotes,poster_path,popularity,key,text_concat,lemmatized_text
0,"New York, police judiciaire",1990,2024,True,Dick Wolf,"Mehcad Brooks, Reid Scott, Maura Tierney, Tony Goldwyn, Hugh Dancy, Odelya Halevi","À New York, détectives et assistants du procureur tentent de résoudre les affaires les plus délicates. Les uns sur le terrain, les autres devant les tribunaux.","Crime, Drame",États-Unis,42,15.287333333333335,24,511,7.8,46194,https://image.tmdb.org/t/p/original/7ZFSCSIuW8wzXJL1JezrKcLzV4x.jpg,1692.19,https://www.youtube.com/watch?v=RzN8cPlcMTU,"New York, police judiciaire Dick Wolf Mehcad Brooks, Reid Scott, Maura Tierney, Tony Goldwyn, Hugh Dancy, Odelya Halevi À New York, détectives et assistants du procureur tentent de résoudre les affaires les plus délicates. Les uns sur le terrain, les autres devant les tribunaux. Crime, Drame États-Unis","New York , police judiciaire Dick Wolf Mehcad Brooks , Reid Scott , Maura Tierney , Tony Goldwyn , Hugh Dancy , odelya Halevi à New York , détective et assistant de procureur tentent de résoudre le affaire le plus délicat . le un sur le terrain , le autre devant le tribunal . crime , Drame États-Unis"
1,New York Unité Spéciale,1999,2025,True,Dick Wolf,"Mariska Hargitay, Ice-T, Peter Scanavino, Octavio Pisano, Kevin Kane, Juliana Aidén Martinez","Les inspecteurs qui font partie de la division des Crimes sexuels (SVU) du service de police de la ville de New York (NYPD) enquêtent sur des crimes de nature sexuelle. Alors que les autres émissions de la franchise de ""La loi et l'ordre"" se sont largement concentrées sur les cas de meurtres, les inspecteurs de la division des Crimes sexuels (SVU) ont souvent affaire à des crimes, tel le viol, auquel la victime survit et elle aide les autorités lors de l'enquête.","Crime, Drame, Mystère",États-Unis,43,12.418999999999999,26,564,8.1,131437,https://image.tmdb.org/t/p/original/95flTYCxEPNFSdZVrHy9nMIeLbw.jpg,1464.85,https://www.youtube.com/watch?v=uygf0l_WzjA,"New York Unité Spéciale Dick Wolf Mariska Hargitay, Ice-T, Peter Scanavino, Octavio Pisano, Kevin Kane, Juliana Aidén Martinez Les inspecteurs qui font partie de la division des Crimes sexuels (SVU) du service de police de la ville de New York (NYPD) enquêtent sur des crimes de nature sexuelle. Alors que les autres émissions de la franchise de ""La loi et l'ordre"" se sont largement concentrées sur les cas de meurtres, les inspecteurs de la division des Crimes sexuels (SVU) ont souvent affaire à des crimes, tel le viol, auquel la victime survit et elle aide les autorités lors de l'enquête. Crime, Drame, Mystère États-Unis","New York unité spécial Dick Wolf Mariska Hargitay , Ice -T , peter Scanavino , Octavio Pisano , Kevin Kane , Juliana Aidén Martinez le inspecteur qui faire partie de le division de crime sexuel ( svu ) de service de police de le ville de New York ( NYPD ) enquêter sur un crime de nature sexuel . alors que le autre émission de le franchise de "" le loi et le ordre "" se être largement concentrer sur le cas de meurtre , le inspecteur de le division de crime sexuel ( svu ) avoir souvent affaire à un crime , tel le viol , auquel le victime survit et lui aide le autorité lors de le enquête . crime , Drame , Mystère États-Unis"
2,The Rookie : Le Flic de Los Angeles,2018,2025,True,Alexi Hawley,"Nathan Fillion, Melissa O'Neil, Alyssa Diaz, Eric Winter, Mekia Cox, Richard T. Jones, Shawn Ashmore, Jenna Dewan, Lisseth Chavez","Lorsque sa femme le quitte et que son fils part à la fac, John Nolan, la quarantaine, est à un tournant de sa vie et décide de réaliser un vieux rêve : devenir flic ! Il part vivre à Los Angeles et se retrouve, malgré son âge, un bleu parmi les bleus...","Crime, Drame, Comédie",États-Unis,43,33.114666666666665,7,117,8.0,85148,https://image.tmdb.org/t/p/original/z2Y1msHaUil83t2WJyszlsacEgJ.jpg,1016.261,https://www.youtube.com/watch?v=8BPlx6eK1vc,"The Rookie : Le Flic de Los Angeles Alexi Hawley Nathan Fillion, Melissa O'Neil, Alyssa Diaz, Eric Winter, Mekia Cox, Richard T. Jones, Shawn Ashmore, Jenna Dewan, Lisseth Chavez Lorsque sa femme le quitte et que son fils part à la fac, John Nolan, la quarantaine, est à un tournant de sa vie et décide de réaliser un vieux rêve : devenir flic ! Il part vivre à Los Angeles et se retrouve, malgré son âge, un bleu parmi les bleus... Crime, Drame, Comédie États-Unis","The Rookie : le flic de Los Angeles Alexi Hawley Nathan fillion , Melissa O' neil , Alyssa Diaz , Eric Winter , Mekia Cox , Richard T. Jones , Shawn Ashmore , Jenna Dewan , Lisseth Chavez lorsque son femme le quitte et que son fils part à le fac , John Nolan , le quarantaine , être à un tournant de son vie et décider de réaliser un vieux rêve : devenir flic ! il part vivre à Los angele et se retrouver , malgré son âge , un bleu parmi le bleu ... crime , Drame , comédie États-Unis"
3,Grey's Anatomy,2005,2024,True,Shonda Rhimes,"Ellen Pompeo, Chandra Wilson, James Pickens Jr., Kevin McKidd, Caterina Scorsone, Camilla Luddington, Kim Raver, Jason George, Chris Carmack, Anthony Hill, Adelaide Kane, Alexis Floyd, Niko Terho, Harry Shum Jr.","Meredith Grey, fille d'un chirurgien très réputé, commence son internat de première année en médecine chirurgicale dans un hôpital de Seattle. La jeune femme s'efforce de maintenir de bonnes relations avec ses camarades internes, mais dans ce métier difficile la compétition fait rage.",Drame,États-Unis,43,12.908714285714286,21,438,7.6,351634,https://image.tmdb.org/t/p/original/7jEVqXC14bhfAzSPgr896dMdDv6.jpg,1036.88,https://www.youtube.com/watch?v=P5NYPUX9GxY,"Grey's Anatomy Shonda Rhimes Ellen Pompeo, Chandra Wilson, James Pickens Jr., Kevin McKidd, Caterina Scorsone, Camilla Luddington, Kim Raver, Jason George, Chris Carmack, Anthony Hill, Adelaide Kane, Alexis Floyd, Niko Terho, Harry Shum Jr. Meredith Grey, fille d'un chirurgien très réputé, commence son internat de première année en médecine chirurgicale dans un hôpital de Seattle. La jeune femme s'efforce de maintenir de bonnes relations avec ses camarades internes, mais dans ce métier difficile la compétition fait rage. Drame États-Unis","grey' s Anatomy shonda Rhimes Ellen Pompeo , chandra Wilson , James Pickens Jr . , Kevin McKidd , Caterina Scorsone , Camilla Luddington , Kim Raver , Jason George , Chris Carmack , Anthony Hill , adelaide Kane , Alexis Floyd , Niko Terho , Harry Shum Jr . Meredith Grey , fille de un chirurgien très réputé , commencer son internat de premier année en médecine chirurgical dans un hôpital de Seattle . le jeune femme se efforcer de maintenir de bon relation avec son camarade interne , mais dans ce métier difficile le compétition faire rage . Drame États-Unis"
4,Silo,2023,2025,True,Graham Yost,"Rebecca Ferguson, Common, Harriet Walter, Chinaza Uche, Avi Nash, Rick Gomez, Tim Robbins, Shane McRae, Billy Postlethwaite, Remmie Milner, Alexandria Riley, Clare Perkins, Steve Zahn","Dans un monde futur dévasté et toxique, des milliers de survivants habitent un gigantesque silo souterrain. Après la transgression d'une règle d'or par leur shérif et la mort mystérieuse de plusieurs résidents, Juliette, une mécanicienne, perce peu à peu les terribles secrets du Silo.","Science-Fiction & Fantastique, Drame",États-Unis,,29.007692307692306,2,20,8.1,144954,https://image.tmdb.org/t/p/original/dxktdopZCOlff10ocoEdn2TXBzl.jpg,1027.82,https://www.youtube.com/watch?v=8QOFIMvl-PU,"Silo Graham Yost Rebecca Ferguson, Common, Harriet Walter, Chinaza Uche, Avi Nash, Rick Gomez, Tim Robbins, Shane McRae, Billy Postlethwaite, Remmie Milner, Alexandria Riley, Clare Perkins, Steve Zahn Dans un monde futur dévasté et toxique, des milliers de survivants habitent un gigantesque silo souterrain. Après la transgression d'une règle d'or par leur shérif et la mort mystérieuse de plusieurs résidents, Juliette, une mécanicienne, perce peu à peu les terribles secrets du Silo. Science-Fiction & Fantastique, Drame États-Unis","Silo Graham Yost Rebecca Ferguson , Common , Harriet Walter , Chinaza uch , avi Nash , Rick Gomez , Tim Robbins , Shane mcra , Billy Postlethwaite , Remmie Milner , Alexandria Riley , Clare perkin , steve Zahn dans un monde futur dévasté et toxique , de millier de survivant habiter un gigantesque silo souterrain . après le transgression de un règle de or par son shérif et le mort mystérieux de plusieurs résident , Juliette , un mécanicien , perce peu à peu le terrible secret de Silo . Science - Fiction et Fantastique , Drame États-Unis"
5,Supernatural,2005,2020,False,Eric Kripke,"Jared Padalecki, Jensen Ackles, Misha Collins","Deux frères, Sam et Dean Winchester, chasseurs de créatures surnaturelles, sillonnent les États-Unis à bord d'une Chevrolet Impala noire de 1967 et enquêtent sur des phénomènes paranormaux (souvent issus du folklore, des superstitions, mythes et légendes urbaines américaines, mais aussi des monstres surnaturels tels que les fantômes, loups-garous, démons, vampires…).","Drame, Mystère, Science-Fiction & Fantastique",États-Unis,45,24.42233333333333,15,327,8.4,498205,https://image.tmdb.org/t/p/original/tkaGDRpGPVikYFdokFOIA6DWDbz.jpg,804.632,https://www.youtube.com/watch?v=L1qRisJwqZk,"Supernatural Eric Kripke Jared Padalecki, Jensen Ackles, Misha Collins Deux frères, Sam et Dean Winchester, chasseurs de créatures surnaturelles, sillonnent les États-Unis à bord d'une Chevrolet Impala noire de 1967 et enquêtent sur des phénomènes paranormaux (souvent issus du folklore, des superstitions, mythes et légendes urbaines américaines, mais aussi des monstres surnaturels tels que les fantômes, loups-garous, démons, vampires…). Drame, Mystère, Science-Fiction & Fantastique États-Unis","Supernatural Eric Kripke Jared Padalecki , Jensen Ackles , Misha collin Deux frère , Sam et Dean Winchester , chasseur de créature surnaturel , sillonner le États-Unis à bord de un chevrolet impala noir de 1967 et enquêter sur un phénomène paranormal ( souvent issu de folklore , un superstition , mythe et légende urbain américaine , mais aussi un monstre surnaturel tel que le fantôme , loup - garou , démon , vampire … ) . drame , Mystère , Science - Fiction et Fantastique États-Unis"
6,Dr House,2004,2012,False,David Shore,"Hugh Laurie, Robert Sean Leonard, Omar Epps, Jesse Spencer, Odette Annable, Peter Jacobson, Charlyne Yi","Le docteur Gregory House, est un brillant médecin à tendance misanthrope qui dirige une équipe d'internistes au sein de l'hôpital fictif de Princeton-Plainsboro dans le New Jersey. House est un personnage arrogant, cynique, anticonformiste et asocial. Il souffre d'une claudication provenant d'une douleur chronique à la jambe droite due à un infarctus du muscle de la cuisse. Il marche avec une canne et abuse de Vicodin, un analgésique opiacé, pour soulager sa douleur.","Drame, Mystère, Comédie",États-Unis,44,20.566142857142857,8,176,8.7,537752,https://image.tmdb.org/t/p/original/6x1FKoU6NibBQB4hMRQYDMyDGQ7.jpg,855.381,https://www.youtube.com/watch?v=JRDPhY-GCUs,"Dr House David Shore Hugh Laurie, Robert Sean Leonard, Omar Epps, Jesse Spencer, Odette Annable, Peter Jacobson, Charlyne Yi Le docteur Gregory House, est un brillant médecin à tendance misanthrope qui dirige une équipe d'internistes au sein de l'hôpital fictif de Princeton-Plainsboro dans le New Jersey. House est un personnage arrogant, cynique, anticonformiste et asocial. Il souffre d'une claudication provenant d'une douleur chronique à la jambe droite due à un infarctus du muscle de la cuisse. Il marche avec une canne et abuse de Vicodin, un analgésique opiacé, pour soulager sa douleur. Drame, Mystère, Comédie États-Unis","Dr House David shor hugh Laurie , Robert Sean Leonard , Omar Epps , Jesse Spencer , Odette Annable , peter Jacobson , Charlyne yi le docteur Gregory House , être un brillant médecin à tendance misanthrope qui diriger un équipe de interniste au sein de le hôpital fictif de Princeton - Plainsboro dans le New Jersey . House être un personnage arroger , cynique , anticonformiste et asocial . il souffrir de un claudication provenir de un douleur chronique à le jambe droite devoir à un infarctus de muscle de le cuisse . il marche avec un canne et abus de Vicodin , un analgésique opiacer , pour soulager son douleur . drame , mystère , comédie États-Unis"
7,Les Experts,2000,2015,False,"Anthony E. Zuiker, Ann Donahue","Ted Danson, George Eads, Jorja Fox, Eric Szmanda, Robert David Hall, Wallace Langham, Jon Wellner, Elisabeth Harnois, Elisabeth Shue, David Berman","À Las Vegas, un groupe d'experts scientifiques de la police recueille des indices sur les scènes de crime pour résoudre des enquêtes complexes. Un temps conduite par Gil Grissom, un entomologiste qui garde toujours son sang-froid, l'équipe enchaîne les affaires délicates : meurtres sanglants, viols, disparitions, leur taux d'efficacité est impressionnant. D.B. Russell, qui prend la suite des opérations après le départ de Gil Grissom et l'intérim de Raymond Langston, tente de maintenir la réputation d'excellence du service.","Crime, Drame, Mystère",États-Unis,,12.8432,15,335,7.7,90723,https://image.tmdb.org/t/p/original/fx304X0L9dykk0yZixBfhUDqH53.jpg,587.412,https://www.youtube.com/watch?v=ApT1EYvrwuk,"Les Experts Anthony E. Zuiker, Ann Donahue Ted Danson, George Eads, Jorja Fox, Eric Szmanda, Robert David Hall, Wallace Langham, Jon Wellner, Elisabeth Harnois, Elisabeth Shue, David Berman À Las Vegas, un groupe d'experts scientifiques de la police recueille des indices sur les scènes de crime pour résoudre des enquêtes complexes. Un temps conduite par Gil Grissom, un entomologiste qui garde toujours son sang-froid, l'équipe enchaîne les affaires délicates : meurtres sanglants, viols, disparitions, leur taux d'efficacité est impressionnant. D.B. Russell, qui prend la suite des opérations après le départ de Gil Grissom et l'intérim de Raymond Langston, tente de maintenir la réputation d'excellence du service. Crime, Drame, Mystère États-Unis","le expert Anthony E. Zuiker , Ann Donahue Ted Danson , george Eads , Jorja Fox , Eric Szmanda , Robert David Hall , Wallace Langham , Jon Wellner , Elisabeth Harnois , Elisabeth Shue , David Berman à las Vegas , un groupe de expert scientifique de le police recueill de indice sur le scène de crime pour résoudre un enquête complexe . un temps conduire par Gil Grissom , un entomologiste qui garde toujours son sang - froid , le équipe enchaîner le affaire délicat : meurtre sanglant , viol , disparition , son taux de efficacité être impressionner . D.B. Russell , qui prendre le suite un opération après le départ de Gil Grissom et le intérim de Raymond Langston , tente de maintenir le réputation de excellence de service . crime , Drame , Mystère États-Unis"
8,Yellowstone,2018,2024,False,"John Linson, Taylor Sheridan","Luke Grimes, Kelly Reilly, Wes Bentley, Cole Hauser, Kelsey Asbille, Brecken Merrill, Jefferson White, Ryan Bingham, Finn Little, Ian Bohen, Forrie J. Smith, Denim Richards, Wendy Moniz, Jennifer Landon, Kathryn Kelly, Mo Brings Plenty, Gil Birmingham","Dans le Montana, la famille Dutton possède le plus grand ranch des États-Unis près du parc national de Yellowstone. Menée par le patriarche John, la famille se bat contre des politiciens et des promoteurs immobiliers.","Western, Drame",États-Unis,,22.93441176470588,5,53,8.7,241498,https://image.tmdb.org/t/p/original/s4QRRYc1V2e68Qy9Wel9MI8fhRP.jpg,792.036,https://www.youtube.com/watch?v=suobrMPBLlo,"Yellowstone John Linson, Taylor Sheridan Luke Grimes, Kelly Reilly, Wes Bentley, Cole Hauser, Kelsey Asbille, Brecken Merrill, Jefferson White, Ryan Bingham, Finn Little, Ian Bohen, Forrie J. Smith, Denim Richards, Wendy Moniz, Jennifer Landon, Kathryn Kelly, Mo Brings Plenty, Gil Birmingham Dans le Montana, la famille Dutton possède le plus grand ranch des États-Unis près du parc national de Yellowstone. Menée par le patriarche John, la famille se bat contre des politiciens et des promoteurs immobiliers. Western, Drame États-Unis","Yellowstone John Linson , Taylor Sheridan Luke Grimes , Kelly Reilly , Wes Bentley , Cole Hauser , Kelsey Asbille , Brecken Merrill , Jefferson White , Ryan Bingham , Finn Little , Ian Bohen , forrie J. Smith , Denim Richards , Wendy Moniz , Jennifer Landon , Kathryn Kelly , Mo Brings Plenty , Gil Birmingham dans le Montana , le famille Dutton posséder le plus grand ranch de États-Unis près de parc national de Yellowstone . mener par le patriarche John , le famille se battre contre un politicien et de promoteur immobilier . Western , Drame États-Unis"
9,Dexter,2006,2013,False,James Manos Jr.,"Michael C. Hall, Jennifer Carpenter, Geoff Pierson, David Zayas, James Remar, Aimee Garcia, Desmond Harrington, C.S. Lee","Brillant expert scientifique du service médico-légal de la police de Miami, Dexter Morgan est spécialisé dans l'analyse de prélèvements et d'éclaboussures de sang. Mais Dexter cache un terrible secret : c'est également un tueur en série ! Un serial killer pas comme les autres, avec sa propre vision de la justice, qui, grâce au code fourni par son père adoptif, ne s'en prend qu'à des personnes coupables de meurtres affreux ou de délits répréhensibles. Mais Dexter n'attend pas que la justice les libère ou les relâche, faute de preuves. Il les assassine, avant même que la police ne remonte jusqu'à eux et efface ses traces. Sa demi-sœur, Debra, travaille dans le même commissariat que lui et n'a de cesse de traquer tous les meurtriers, quels qu'ils soient... sans savoir qu'elle en fréquente un, tous les jours !","Crime, Drame, Mystère",États-Unis,,24.934875,8,96,8.6,804752,https://image.tmdb.org/t/p/original/ptQtKhlJYtPlp5ecvJXvIGyjCjf.jpg,743.405,https://www.youtube.com/watch?v=35iyETTPhiU,"Dexter James Manos Jr. Michael C. Hall, Jennifer Carpenter, Geoff Pierson, David Zayas, James Remar, Aimee Garcia, Desmond Harrington, C.S. Lee Brillant expert scientifique du service médico-légal de la police de Miami, Dexter Morgan est spécialisé dans l'analyse de prélèvements et d'éclaboussures de sang. Mais Dexter cache un terrible secret : c'est également un tueur en série ! Un serial killer pas comme les autres, avec sa propre vision de la justice, qui, grâce au code fourni par son père adoptif, ne s'en prend qu'à des personnes coupables de meurtres affreux ou de délits répréhensibles. Mais Dexter n'attend pas que la justice les libère ou les relâche, faute de preuves. Il les assassine, avant même que la police ne remonte jusqu'à eux et efface ses traces. Sa demi-sœur, Debra, travaille dans le même commissariat que lui et n'a de cesse de traquer tous les meurtriers, quels qu'ils soient... sans savoir qu'elle en fréquente un, tous les jours ! Crime, Drame, Mystère États-Unis","dexter James Manos Jr . michael C. Hall , Jennifer Carpenter , geoff Pierson , David Zayas , James Remar , Aimee Garcia , Desmond Harrington , c.s. Lee Brillant expert scientifique de service médico-légal de le police de Miami , dexter Morgan être spécialiser dans le analyse de prélèvement et de éclaboussure de sang . mais dexter cache un terrible secret   : ce être également un tueur en série   ! un serial killer pas comme le autre , avec son propre vision de le justice , qui , grâce au code fournir par son père adoptif , ne se en prendre que à un personne coupable de meurtre affreux ou de délit répréhensible . mais Dexter ne attendre pas que le justice le libère ou le relâche , faute de preuve . il le assassine , avant même que le police ne remonter jusque à lui et effacer son trace . son demi-sœur , debra , travailler dans le même commissariat que luire et ne avoir de cesse de traquer tout le meurtrier , quel que il être ... sans savoir que lui en fréquenter un , tout le jour   ! Crime , Drame , Mystère États-Unis"
